Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Total_Purchases,Total_Spent,Avg_Spent_Per_Purchase,Preferred_Channel,Preferred_Product,Campaign_Response_Rate,Recency_Score,Spending_Segment,Has_Children,Total_Children,Customer_Value
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,0,1,0,0,0,0,0,1,0,0,268,220,0,12,316,26.333333333333332,Store,Wines,0.0,58,Low Spender,0,0,0.0
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,0,1,0,0,0,0,0,1,0,0,1729,1728,0,43,1730,40.23255813953488,Catalog,MeatProducts,0.0,57,High Spender,1,1,0.0
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,0,1,0,0,0,0,0,0,0,1,953,934,1,17,972,57.1764705882353,Store,Wines,0.16666666666666666,36,Medium Spender,1,1,44096.4
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,0,1,0,0,0,0,0,0,0,1,539,534,0,20,544,27.2,Store,Wines,0.0,99,Medium Spender,1,1,0.0
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,0,0,0,1,0,0,0,1,0,0,345,246,0,20,444,22.2,Web,Wines,0.0,30,Low Spender,1,1,0.0
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,0,0,1,0,0,0,0,1,0,0,62,49,0,8,75,9.375,Store,MeatProducts,0.0,10,Low Spender,0,0,0.0
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,0,1,0,0,0,0,0,1,0,0,216,175,0,14,257,18.357142857142858,Web,Wines,0.0,95,Low Spender,1,2,0.0
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,0,1,0,0,0,0,0,1,0,0,121,111,0,9,131,14.555555555555555,Store,MeatProducts,0.0,73,Low Spender,1,1,0.0
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,0,1,0,0,0,0,0,0,0,1,1672,1672,1,26,1672,64.3076923076923,Store,MeatProducts,0.16666666666666666,3,High Spender,0,0,66545.59999999999
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,0,0,0,0,0,0,0,1,0,26,22,0,8,30,3.75,Web,MeatProducts,0.0,65,Low Spender,0,0,0.0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,11,318,28.90909090909091,Catalog,Wines,0.0,43,Low Spender,0,0,0.0
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,0,0,0,1,0,0,0,1,0,0,117,114,1,9,120,13.333333333333334,Store,Wines,0.16666666666666666,68,Low Spender,1,1,5592.0
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,0,0,0,0,0,0,0,0,1,259,216,0,17,302,17.764705882352942,Store,Wines,0.16666666666666666,91,Low Spender,1,2,13977.566666666664
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,0,1,0,0,0,0,0,0,1,0,1174,1152,0,18,1196,66.44444444444444,Store,Wines,0.0,95,Medium Spender,0,0,0.0
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,0,0,1,0,0,0,0,0,1,0,62,59,0,6,65,10.833333333333334,Store,Wines,0.0,44,Low Spender,1,2,0.0
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,0,1,0,0,0,0,0,0,0,1,878,843,0,28,913,32.607142857142854,Store,Wines,0.0,62,Medium Spender,1,1,0.0
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,0,1,0,0,0,1,0,0,0,0,45,9,0,9,81,9.0,Web,GoldProds,0.0,23,Low Spender,1,1,0.0
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,0,0,0,0,1,0,0,1,0,0,63,59,0,7,67,9.571428571428571,Store,Wines,0.0,0,Low Spender,1,1,0.0
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,0,0,0,0,0,0,0,0,1,860,818,1,24,902,37.583333333333336,Catalog,Wines,0.3333333333333333,46,Medium Spender,0,0,80638.79999999999
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,0,1,0,0,0,0,0,1,0,0,1293,1191,0,21,1395,66.42857142857143,Web,MeatProducts,0.0,96,Medium Spender,1,1,0.0
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,0,1,0,0,0,0,0,0,1,0,46,39,0,7,53,7.571428571428571,Store,MeatProducts,0.0,11,Low Spender,1,1,0.0
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,0,0,0,1,0,0,0,1,0,0,19,16,0,4,22,5.5,Store,Wines,0.0,95,Low Spender,1,1,0.0
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,45,2429,0,1,0,0,0,0,0,0,1,0,19,7,0,8,31,3.875,Store,GoldProds,0.0,80,Low Spender,1,1,0.0
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,44,2160,0,0,1,0,0,0,0,1,0,0,810,636,0,16,984,61.5,Store,MeatProducts,0.0,27,Medium Spender,0,0,0.0
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,24,2756,0,1,0,0,0,1,0,0,0,0,72,22,0,10,122,12.2,Web,GoldProds,0.16666666666666666,75,Low Spender,0,0,5624.2
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,52,2560,0,0,0,1,0,0,0,1,0,0,42,29,0,5,55,11.0,Web,MeatProducts,0.0,7,Low Spender,1,1,0.0
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,66,2757,0,1,0,0,0,0,0,0,0,1,1281,1243,0,28,1319,47.107142857142854,Store,Wines,0.0,60,Medium Spender,1,2,0.0
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,63,2207,0,0,0,0,1,0,0,1,0,0,493,479,0,17,507,29.823529411764707,Store,Wines,0.0,70,Medium Spender,1,1,0.0
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,56,2846,0,1,0,0,0,0,0,0,1,0,1661,1629,0,29,1693,58.37931034482759,Store,MeatProducts,0.0,97,High Spender,0,0,0.0
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,2702,0,0,1,0,0,0,0,1,0,0,69,66,0,7,72,10.285714285714286,Store,FishProducts,0.0,45,Low Spender,1,1,0.0
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,43,2181,1,0,0,0,0,0,0,1,0,0,1376,1135,2,21,1617,77.0,Catalog,MeatProducts,0.5,45,High Spender,0,0,177142.35
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,42,2541,0,1,0,0,0,0,0,1,0,0,497,388,0,23,606,26.347826086956523,Store,Wines,0.0,42,Medium Spender,1,2,0.0
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,65,2746,0,0,0,1,0,0,0,0,1,0,1767,1577,1,27,1957,72.48148148148148,Store,Wines,0.3333333333333333,44,High Spender,0,0,179783.06666666665
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,54,2612,1,0,0,0,0,0,0,1,0,0,1053,1013,0,21,1093,52.04761904761905,Store,MeatProducts,0.16666666666666666,69,Medium Spender,0,0,47764.1
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,32,2221,0,0,1,0,0,0,0,1,0,0,24,19,0,6,29,4.833333333333333,Store,Wines,0.0,68,Low Spender,1,1,0.0
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,52,2277,0,1,0,0,0,0,0,0,0,1,475,432,0,19,518,27.263157894736842,Web,Wines,0.0,36,Medium Spender,1,1,0.0
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,0,0,1,0,0,0,0,0,1,0,1358,1278,2,21,1438,68.47619047619048,Store,Wines,0.5,87,Medium Spender,0,0,181835.1
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,45,2819,0,0,0,1,0,0,0,1,0,0,606,600,0,22,612,27.818181818181817,Store,Wines,0.0,81,Medium Spender,1,2,0.0
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,68,2655,0,0,1,0,0,0,0,1,0,0,715,546,0,24,884,36.833333333333336,Store,Wines,0.0,73,Medium Spender,1,1,0.0
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,0,0,0,0,1,0,0,0,0,1,600,594,0,19,606,31.894736842105264,Store,Wines,0.0,91,Medium Spender,1,1,0.0
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,0,0,0,1,0,0,0,1,0,0,1046,1016,0,16,1076,67.25,Web,Wines,0.0,70,Medium Spender,0,0,0.0
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,0,1,0,0,0,0,0,1,0,0,19,4,0,5,34,6.8,Store,GoldProds,0.16666666666666666,24,Low Spender,1,1,1458.0333333333333
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,4,11,2.75,Store,Wines,0.0,99,Low Spender,1,2,0.0
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,0,0,1,0,0,1,0,0,0,0,1236,1198,2,32,1274,39.8125,Web,Wines,0.5,80,Medium Spender,1,1,144662.69999999998
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,0,0,0,1,0,0,0,1,0,0,544,435,0,18,653,36.27777777777778,Store,Wines,0.0,95,Medium Spender,1,1,0.0
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,0,0,0,1,0,0,0,1,0,0,1489,1416,0,19,1562,82.21052631578948,Deals,Wines,0.0,9,High Spender,1,3,0.0
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,21,1253,59.666666666666664,Catalog,Wines,0.0,98,Medium Spender,0,0,0.0
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,0,1,0,0,0,0,0,1,0,0,777,691,0,30,863,28.766666666666666,Store,MeatProducts,0.0,70,Medium Spender,1,1,0.0
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,0,1,0,0,0,0,0,0,0,1,642,623,1,24,661,27.541666666666668,Web,Wines,0.16666666666666666,11,Medium Spender,1,2,28852.649999999994
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,0,1,0,0,0,0,0,1,0,0,56,47,0,8,65,8.125,Store,SweetProducts,0.0,41,Low Spender,0,0,0.0
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,0,0,0,0,0,0,1,0,0,12,11,0,4,13,3.25,Store,MeatProducts,0.0,31,Low Spender,1,1,0.0
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,0,1,0,0,0,0,0,0,1,0,1872,1854,0,19,1890,99.47368421052632,Web,MeatProducts,0.16666666666666666,65,High Spender,0,0,89460.0
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,0,0,1,0,0,0,0,1,0,0,2158,2107,1,22,2209,100.4090909090909,Store,Wines,0.3333333333333333,59,High Spender,0,0,205731.5333333333
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,4,18,4.5,Store,GoldProds,0.0,87,Low Spender,0,0,0.0
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,0,0,0,1,0,0,0,1,0,0,641,590,1,21,692,32.95238095238095,Web,Wines,0.3333333333333333,90,Medium Spender,0,0,62556.799999999996
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,0,0,1,0,0,0,0,1,0,0,148,131,0,12,165,13.75,Store,MeatProducts,0.0,12,Low Spender,1,1,0.0
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,0,1,0,0,0,0,0,1,0,0,12,8,0,4,16,4.0,Store,MeatProducts,0.0,94,Low Spender,1,1,0.0
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,0,1,0,0,0,1,0,0,0,0,56,33,0,9,79,8.777777777777779,Web,Wines,0.0,12,Low Spender,1,1,0.0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,11,318,28.90909090909091,Catalog,Wines,0.0,43,Low Spender,0,0,0.0
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,0,0,0,0,0,0,1,0,0,702,626,0,27,778,28.814814814814813,Store,MeatProducts,0.0,81,Medium Spender,0,0,0.0
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,0,1,0,0,0,0,0,1,0,0,53,50,0,7,56,8.0,Store,Wines,0.0,4,Low Spender,1,2,0.0
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,0,1,0,0,0,0,0,0,1,0,146,141,1,13,151,11.615384615384615,Deals,Wines,0.16666666666666666,51,Low Spender,1,2,6334.449999999999
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,0,0,1,0,0,0,0,1,0,0,338,304,2,17,372,21.88235294117647,Web,Wines,0.5,96,Low Spender,1,1,40938.6
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,0,1,0,0,0,0,0,1,0,0,1221,1076,1,19,1366,71.89473684210526,Store,MeatProducts,0.16666666666666666,29,Medium Spender,0,0,50473.7
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,53,2318,0,0,0,1,0,0,0,1,0,0,187,180,0,10,194,19.4,Store,Wines,0.0,20,Low Spender,1,1,0.0
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,2257,0,0,1,0,0,0,0,0,1,0,28,24,0,5,32,6.4,Store,Wines,0.0,30,Low Spender,1,1,0.0
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,50,2195,0,1,0,0,0,0,0,0,0,1,43,43,0,10,43,4.3,Web,Wines,0.0,15,Low Spender,1,1,0.0
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,37,2197,0,1,0,0,0,0,0,1,0,0,36,27,0,6,45,7.5,Store,FishProducts,0.0,69,Low Spender,1,1,0.0
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,60,2743,0,0,0,0,1,0,0,1,0,0,531,456,1,22,606,27.545454545454547,Web,Wines,0.16666666666666666,27,Medium Spender,1,1,27805.300000000003
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2603,1,0,0,0,0,0,0,1,0,0,61,59,0,7,63,9.0,Store,Wines,0.0,62,Low Spender,1,2,0.0
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,69,2369,0,1,0,0,0,1,0,0,0,0,755,532,1,25,978,39.12,Store,MeatProducts,0.16666666666666666,55,Medium Spender,0,0,38777.700000000004
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,37,2533,0,1,0,0,0,0,0,0,0,1,399,388,0,16,410,25.625,Store,Wines,0.0,67,Low Spender,0,0,0.0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,0,0,1,0,0,1,0,0,0,0,62,52,0,7,72,10.285714285714286,Store,Wines,0.0,99,Low Spender,1,1,0.0
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,61,2250,0,0,1,0,0,0,0,0,0,1,50,45,0,7,55,7.857142857142857,Store,Wines,0.0,56,Low Spender,1,1,0.0
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,41,2594,0,0,0,1,0,0,0,1,0,0,1058,947,0,27,1169,43.2962962962963,Store,Wines,0.0,40,Medium Spender,1,1,0.0
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,75,2567,0,1,0,0,0,0,0,0,0,1,1039,958,0,16,1120,70.0,Web,Wines,0.0,31,Medium Spender,0,0,0.0
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,61,2211,0,1,0,0,0,0,0,1,0,0,1059,1021,0,20,1097,54.85,Catalog,MeatProducts,0.16666666666666666,64,Medium Spender,0,0,40607.283333333326
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,41,2360,0,0,0,1,0,0,1,0,0,0,20,11,0,5,29,5.8,Store,FishProducts,0.0,5,Low Spender,1,1,0.0
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,56,2437,0,1,0,0,0,0,0,1,0,0,180,173,0,13,187,14.384615384615385,Web,Wines,0.0,84,Low Spender,1,2,0.0
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,51,2671,0,1,0,0,0,0,0,1,0,0,845,780,0,26,910,35.0,Store,Wines,0.0,43,Medium Spender,1,2,0.0
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,42,2716,0,0,1,0,0,0,0,1,0,0,118,91,0,9,145,16.11111111111111,Web,Wines,0.0,82,Low Spender,1,1,0.0
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,60,2728,0,1,0,0,0,0,0,0,1,0,807,764,0,14,850,60.714285714285715,Web,Wines,0.0,81,Medium Spender,0,0,0.0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,41,2398,0,0,0,1,0,0,0,1,0,0,890,811,0,24,969,40.375,Store,Wines,0.0,53,Medium Spender,1,1,0.0
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,29,2755,0,0,1,0,0,0,0,0,0,1,1734,1648,1,17,1820,107.05882352941177,Web,Wines,0.3333333333333333,59,High Spender,0,0,167743.3333333333
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,57,2163,0,0,0,1,0,0,0,0,1,0,548,488,1,20,608,30.4,Web,Wines,0.16666666666666666,72,Medium Spender,1,1,22019.733333333334
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,29,2702,0,0,1,0,0,0,0,1,0,0,708,686,2,25,730,29.2,Store,Wines,0.5,4,Medium Spender,0,0,98988.0
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,40,2723,0,1,0,0,0,0,0,0,0,1,479,407,0,21,551,26.238095238095237,Web,Wines,0.0,80,Medium Spender,1,1,0.0
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,58,2451,0,0,1,0,0,0,0,1,0,0,87,60,0,8,114,14.25,Store,Wines,0.0,72,Low Spender,1,2,0.0
